,País,Apellido,y,c
6772,Guatemala,Alas,0.0,Guatemala
6771,El Salvador,Alas,0.05210918114143921,El Salvador
6773,Honduras,Alas,0.0,Honduras
6775,Nicaragua,Alas,0.0,Nicaragua
6768,Costa Rica,Alas,0.0,Costa Rica
6776,Panamá,Alas,0.0,Panama
6767,Colombia,Alas,0.0,Colombia
6782,Venezuela,Alas,0.0,Venezuela
6770,Ecuador,Alas,0.0,Ecuador
6778,Perú,Alas,0.0,Peru
6765,Bolivia,Alas,0.0,Bolivia
6766,Chile,Alas,0.0,Chile
6764,Argentina,Alas,0.0,Argentina
6777,Paraguay,Alas,0.0,Paraguay
6781,Uruguay,Alas,0.0,Uruguay
6769,Cuba,Alas,0.0,Cuba
6780,República Dominicana,Alas,0.0,Dominicana
6779,Puerto Rico,Alas,0.0,Puerto Rico
11106,México,Alcantara,0.0,Mexico
11104,Guatemala,Alcantara,0.0,Guatemala
11103,El Salvador,Alcantara,0.0,El Salvador
11105,Honduras,Alcantara,0.0,Honduras
11107,Nicaragua,Alcantara,0.0,Nicaragua
11100,Costa Rica,Alcantara,0.0,Costa Rica
11108,Panamá,Alcantara,0.0,Panama
11099,Colombia,Alcantara,0.0,Colombia
11114,Venezuela,Alcantara,0.0,Venezuela
11102,Ecuador,Alcantara,0.0,Ecuador
11110,Perú,Alcantara,0.0,Peru
11097,Bolivia,Alcantara,0.0,Bolivia
11098,Chile,Alcantara,0.0,Chile
11096,Argentina,Alcantara,0.0,Argentina
11109,Paraguay,Alcantara,0.0,Paraguay
11113,Uruguay,Alcantara,0.0,Uruguay
11101,Cuba,Alcantara,0.0,Cuba
11112,República Dominicana,Alcantara,0.09859154929577466,Dominicana
11111,Puerto Rico,Alcantara,0.0,Puerto Rico
6090,México,Alcivar,0.0,Mexico
6088,Guatemala,Alcivar,0.0,Guatemala
6087,El Salvador,Alcivar,0.0,El Salvador
6089,Honduras,Alcivar,0.0,Honduras
6091,Nicaragua,Alcivar,0.0,Nicaragua
6084,Costa Rica,Alcivar,0.0,Costa Rica
6092,Panamá,Alcivar,0.0,Panama
6083,Colombia,Alcivar,0.0,Colombia
6098,Venezuela,Alcivar,0.0,Venezuela
6086,Ecuador,Alcivar,0.05084745762711865,Ecuador
6094,Perú,Alcivar,0.0,Peru
6081,Bolivia,Alcivar,0.0,Bolivia
6082,Chile,Alcivar,0.0,Chile
6080,Argentina,Alcivar,0.0,Argentina
6093,Paraguay,Alcivar,0.0,Paraguay
6097,Uruguay,Alcivar,0.0,Uruguay
6085,Cuba,Alcivar,0.0,Cuba
6096,República Dominicana,Alcivar,0.0,Dominicana
6095,Puerto Rico,Alcivar,0.0,Puerto Rico
8674,México,Aleman,0.0,Mexico
8672,Guatemala,Aleman,0.0,Guatemala
8671,El Salvador,Aleman,0.0,El Salvador
8673,Honduras,Aleman,0.0,Honduras
8675,Nicaragua,Aleman,0.06086956521739131,Nicaragua
8668,Costa Rica,Aleman,0.0,Costa Rica
8676,Panamá,Aleman,0.0,Panama
8667,Colombia,Aleman,0.0,Colombia
8682,Venezuela,Aleman,0.0,Venezuela
8670,Ecuador,Aleman,0.0,Ecuador
8678,Perú,Aleman,0.0,Peru
8665,Bolivia,Aleman,0.0,Bolivia
8666,Chile,Aleman,0.0,Chile
8664,Argentina,Aleman,0.0,Argentina
8677,Paraguay,Aleman,0.0,Paraguay
8681,Uruguay,Aleman,0.0,Uruguay
8669,Cuba,Aleman,0.0,Cuba
8680,República Dominicana,Aleman,0.0,Dominicana
8679,Puerto Rico,Aleman,0.0,Puerto Rico
4684,México,Alfaro,0.0,Mexico
4682,Guatemala,Alfaro,0.0,Guatemala
4681,El Salvador,Alfaro,0.12138728323699421,El Salvador
4683,Honduras,Alfaro,0.0,Honduras
4685,Nicaragua,Alfaro,0.0,Nicaragua
4678,Costa Rica,Alfaro,0.15217391304347827,Costa Rica
4686,Panamá,Alfaro,0.0,Panama
4677,Colombia,Alfaro,0.0,Colombia
4692,Venezuela,Alfaro,0.0,Venezuela
4680,Ecuador,Alfaro,0.0,Ecuador
4688,Perú,Alfaro,0.0,Peru
4675,Bolivia,Alfaro,0.0,Bolivia
4676,Chile,Alfaro,0.0,Chile
4674,Argentina,Alfaro,0.0,Argentina
4687,Paraguay,Alfaro,0.0,Paraguay
4691,Uruguay,Alfaro,0.0,Uruguay
4679,Cuba,Alfaro,0.0,Cuba
4690,República Dominicana,Alfaro,0.0,Dominicana
4689,Puerto Rico,Alfaro,0.0,Puerto Rico
5406,México,Alfonso,0.0,Mexico
5404,Guatemala,Alfonso,0.0,Guatemala
5403,El Salvador,Alfonso,0.0,El Salvador
5405,Honduras,Alfonso,0.0,Honduras
5407,Nicaragua,Alfonso,0.0,Nicaragua
5400,Costa Rica,Alfonso,0.0,Costa Rica
5408,Panamá,Alfonso,0.0,Panama
5399,Colombia,Alfonso,0.0,Colombia
5414,Venezuela,Alfonso,0.0,Venezuela
